genes	phenotypes
AIM1L	HP:0003251
AIM1L	HP:0003251
AIM1L	HP:0004448
AIM1L	HP:0006554
AIM1L	HP:0002725
AIM1L	HP:0012539
AIM1L	HP:0002249
AIM1L	HP:0001112
AIM1L	HP:0000823
AIM1L	HP:0002870
AIM1L	HP:0004756
AIM1L	HP:0000505
ALG1L	HP:0003128
ALG1L	HP:0001919
ALG1L	HP:0001915
ALG1L	HP:0001402
ALG1L	HP:0100651
ALG1L	HP:0033165
ALG1L	HP:0003076
ALG1L	HP:0003251
ALG1L	HP:0000112
ALG1L	HP:0006970
ALG1L	HP:0004448
ALG1L	HP:0006554
ALG1L	HP:0006510
ALG1L	HP:0000083
ALG1L	HP:0011097
ALG1L	HP:0005162
ALG1L2	HP:0001370
ALG1L2	HP:0001402
ALG1L2	HP:0002860
ALG1L2	HP:0001644
ALG1L2	HP:0030991
ALG1L2	HP:0100768
ALG1L2	HP:0000793
ALG1L2	HP:0000097
ALG1L2	HP:0001627
ALG1L2	HP:0002564
ALG1L2	HP:0000776
ALG1L2	HP:0025127
ALG1L2	HP:0008682
ALG1L2	HP:0008682
ALG1L2	HP:0012324
ALG1L2	HP:0004808
ALG1L2	HP:0004836
ALG1L2	HP:0006775
ALG1L2	HP:0011857
ALG1L2	HP:0001059
ALG1L2	HP:0012410
ALG1L2	HP:0004756
ALS2CR11	HP:0005112
ALS2CR11	HP:0011675
ALS2CR11	HP:0001402
ALS2CR11	HP:0025318
ALS2CR11	HP:0002860
ALS2CR11	HP:0001627
ALS2CR11	HP:0002564
ALS2CR11	HP:0008222
ALS2CR11	HP:0002249
ANKRD62	HP:0001891
ANKRD62	HP:0001370
ANKRD62	HP:0009800
ANKRD62	HP:0005978
ANKRD62	HP:0001627
ANKRD62	HP:0002564
ANKRD62	HP:0001712
ANKRD62	HP:0008222
ANKRD62	HP:0008222
ANKRD62	HP:0003251
ANKRD62	HP:0003251
ANKRD62	HP:0012539
ANKRD62	HP:0000826
ANKRD62	HP:0000826
ANKRD62	HP:0006510
ANP32D	HP:0003128
ANP32D	HP:0001878
ANP32D	HP:0005112
ANP32D	HP:0011675
ANP32D	HP:0011675
ANP32D	HP:0001997
ANP32D	HP:0001370
